Clinic Name,"Map location (latitude,longitude)",LAT,LONG,Address,City Location,Google Rating,Facebook Rating,Average Rating,Contact Information,Email Address,Services Offered,Pricing,Operating Hours,Customer Reviews Google,Customer Reviews Facebook
Smile Space Dental Clinic Marikina ,"14.639106608223637, 121.12193975723889",14.63910661,121.1219398,"SSS Village, Unit 7, 2nd floor, Bennt III bldg, 
Lilac St, Marikina, 1811 Metro Manila",Marikina City,5,5,5,0916 347 3711,smilespacedentalclinic@gmail.com,#NAME?,,Mon-Sat: 9am-5pm,"Dra. Luzyl was sooo patient with me. I was terrified kasi I had to have 3 of my wisdom 
teeth removed. Pero sobrang bait ni doc, we chatted about different things din, I felt na
 super genuine ng care at support niya sakin as a patient.

The procedure itself, it wasn’t as bad as I expected mainly because I felt that I was in 
good hands. I definitely recommend Smile Space Dental Clinic. 😊","I had done RCT and pasta fillings here and the clinic is clean and comfortable! 👌🏼
 Dra. Luzyl and her assistant is hands-on and very nice! Highly recommend!!! ✨


Highly recommended! 🌟
I had my Root Canal Treatment at Smile Space Dental Clinic. Special thanks to the best dentist, 
Dra. Luzyl, for saving my tooth! The RCT was comfortable and pain free 😊


Thank you so much Doc Luzyl! 
My Wisdom Tooth extraction was very comfortable and fast.
Highly recommended!! 
The best Dentist! ⭐️


Very accommodating and professional. All of their dental services are very affordable. 
Their ambiance is very clean and doesn’t feel like a typical dental clinic. More power to the team! "
Twin Smiles Dental Clinic,"14.651333839340513, 121.11145061675418",14.65133384,121.1114506,"G/F Azarcon Bldg. 51 Bayanbayanan Ave. 
Marikina Heights, Marikina City, Philippines",Marikina City,5,,5,"
0917 531 4170","twinsmilesdental@gmail.com
",#NAME?,,"Tue,Wed,Thurs,Sat:
10:00 AM - 5:00 PM","Affordable, clean, efficient and friendly people. Highly recommended. 😊👍🏻 …",
Bautista Dental Clinic,"15.153678448142749, 120.99011132316679",15.15367845,120.9901113,"10 Gen F Santos, Marikina, 1800 Metro Manila",Marikina City,5,,5,,,,,,Great service. Clinic is in pristine condition. Staff are pleasant to talk with. Highly recommended!,
3D Dental Care City,"14.62021723296119, 121.09345065539367",14.62021723,121.0934507,"J39V+WHG, Marikina-Infanta Hwy, Pasig,
 1800 Metro Manila",Marikina City,3.6,,3.6,"0923 088 5139
 7744 2772",3ddentalcarecity@gmail.com,#NAME?,,Mon-Sun: 10am-7pm,"It's good they have partner HMO.  Bad thing is the doctor did not do well on cleaning my teeth.
 There are stil visible cavities that could be removed. Also, the doctor did not do a thorough
 checkup. I have been with other dental clinics and informed me of all the tooth that needs 
pasta but here, doctor only focused on my bagang (which requires a lot of money for 
procedure to be completed). 😬


The staff is extremely friendly and very efficient it's highly recommend!
Also the price is very affordable and Good quality services!
Thanks for a great experience😊 …


I had my teeth cleaned here and have dental pasta as recommended by the dentist year
 of 2021. They accept clients covered by HMO. They were very accommodating.


I would be happy because they accept hmo, so I just need to ask the hmo to update me.. 
Unfortunately, it's been a month and I haven't received a single text.. they even took details 
of the hmo, my name and phone number ko..when I got some details from my hmo that you 
are available, you did nothing to me, I will sue you...my uncle is a lawyer..YOU DON'T HAVE A SINGLE WORD..UPDATE UPDATE YOU STILL KNOW TAS IN THE END NGANGA MMN PALA..GOODLUCK IN YOUR BUSINESS.",
Dental Flojoss Marikina ,"14.621905120716777, 121.10044389133594",14.62190512,121.1004439,"34 Liamzon, Marikina, 1801 Metro Manila",Marikina City,5,,5,,dental.flojoss@gmail.com,#NAME?,,Mon-Sun: 10am-5pm,"✅ They made sure that you'll be able to maximize your HMO benefits. 💳

✅ Very friendly and responsive BEFORE procedure, via text and with in-person inquiries. 💬👥

✅ Very friendly and makes you at ease DURING the procedure. 🦷🪛

✅ Avega & Intellicare HMO are accepted, subject to verification by the clinic. 🦷💳

*️⃣ In-person OR text appointment required BEFORE procedure. 🗓️

*️⃣ In-person appointment RECOMMENDED for HMO verification. ✔️💳",
Esthétique Smiles Dental,"14.62258278407876, 121.10324427497599",14.62258278,121.1032443,"Unit 4A MEC Building 2 Pitpitan St. San Roque
 (behind McDonald's Marcos Highway), 
Marikina City, Philippines",Marikina City,4,5,4.5,0917 192 9993,esthetiquesmiles.dental@gmail.com,#NAME?,,"Tue-Sat: 10am-7pm
Sun: 10am-5pm","It was very easy to schedule an appointment with them. They were very responsive via 
mobile and Facebook.

The dentist was very patient and answered every inquiry. Rates are very competitive too. 
Highly recommended -- make sure to call for appointment

Clinic was not big but it was clean and comfortable. They even have Netflix on play so you
 won't get bored waiting for your turn.


","Many thanks to Doc. john Paredes and team for their excellent quality of dentistry given to me and
 I would highly recommend Esthetique smiles dental clinic.


▪️ Dr.  Rundell is very professional and straightforward. 
▪️ All are friendly and approachable. 
▪️ Complete PPEs were provided. 
▪️ Necessary precautions have been strictly observed and followed. 
This clinic is highly recommended.


Tried and tested! Sobrang gaan ng kamay ni Doc Rundel! Several reminders during pre and post procedure.
 Plus very strict Covid-19 protocol set-up in the clinic.
Superb, safe and cost efficient service 💙💙💙
Thank you very much for my beautiful veneers!


The facility is very clean. Doc Rundell is very friendly, caring, and he make sure that his patient is comfortable.
 He is really an excellent dentist. He aims for what the patient wants. All the stuff is very friendly and 
accommodating. He is very detailed in his work but still gentle. I highly recommend Doc Rundell Paredes. ⭐️⭐️⭐️⭐️⭐️"
Isidro Dental Clinic ,"14.616074192559422, 121.10138619885363",14.61607419,121.1013862,"77, Diamond Street, 1900 Felix Ave, Cainta, Rizal",Marikina City,1,5,3,0919 483 1919,rowenaisidro72@yahoo.com,"* General Dentistry
* Prosthodontics/ ( Braces)
* Oral Surgery ( Impaction) 
*Prosthodontics ( Crowns and Bridges)
* Endodontics
* Dental Xray ( Periapical xray) ",,Mon-Sat: 10am-7pm,She's rude doctor,"Napaka accommodating ni Doctora, although mahana ang ngipin ko sa lower part natanggal ni doctora 
ng maayos. Very well recommended 👌


I recommend doc rowena because she takes care of me even after the appointment. I would recommend
 my friends to her because she knows what she is doing. She did fixed my tooth ""fixed bridge"" and now I can 
smile with confidently.
Thank u Doc Rowena. (BIG SMILE)😁🤗😚


Me and my husband just availed the 50% Discount on Dental Services at Isidro Dental Clinic. The clinic
 is very responsive. Strict appointment is needed so that you can experience the good services that
 Dra Rowena offers. I am very picky when it comes to my dental needs and choosing a good doctor but
 I can say that Dra Rowena is one of the trusted Dr that I can recommend.
We will be back after a week for another dental service! 
Thank You Dra Rowena! 🙏🏻💓
God Bless you! 


Thank you Dra. Rowena for helping me..super bait at very accommodating..ingat Po palagi 🥰"
"Growing Smiles Dentistry 
(GSD Dental Center)","14.654728283718708, 121.1045053454965",14.65472828,121.1045053,"26 Joy Central Building, A. de Guzman St, 
Marikina, 1807 Metro Manila",Marikina City,5,5,5,"
0917 821 6096","
gsddentalcenter@gmail.com",#NAME?,,Mon-Sat: 9am-6pm,"Having my dental rehabilitation here and I can say the staff and dentists are very friendly
 and they really care for the dental health of their patients.
Overall experience is 5 star! Recommended dentist in Metro Manila and they can also
 accomodate kids.


Hi 😊 I just want to share our experience. The employees are nice and the kids are okay. 
The facility is good and clean. Very accomodating and my nephew enjoyed himself and
 wanted to stay because there were videos playing on the TV 😄 …


Good and very friendly dentist. Good especially with Kids! Will go back here again!","Thank you for making our daughter's first dental visit remarkable 😍. You guys are such pros! 
Super accommodating and your patience is truly commendable!!


Thanks for making my daughter's first dental visit perfect. She's looking forward to her next appointment ☺️
 Dentist is very friendly and approachable ☺️


Yung gusto pa paclean ng teeth ng mga kids nio jan just pm this clinic guys.. Thank you.."
Dr Joys TOOTH ZONE Dental Clinic,"14.623990403055965, 121.09292992224563",14.6239904,121.0929299,"6 J. P. Rizal cor M.H.Del Pilar Street
 ( above 7Eleven, Calumpang),
 Marikina City, Philippines",Marikina City,5,,5,"
0966 697 2007","
drjoymariano78@gmail.com",#NAME?,,Mon-Sat: 10am-5pm,"I went to Dr. Joy’s clinic to have my teeth cleaned, and she cleaned them thoroughly indeed.
 She’s very accommodating, and really cares about her patients.

I highly recommend this clinic for your dental needs.


Dr. Joy was among the few that responded to my text inquiry. Really glad that she did even 
on a holiday. In a matter of minutes, there I was in her clinic. I only had general check up 
but I could tell she provides great services by the amount of pressure she used while putting
 antiseptic on my mouth - just the right amount of pressure. I could also tell not just by the 
way she talked to me, but to her staff as well, that she is kind and someone you'll feel 
comfortable with. The fee (500) was also among the more affordable ones.


This is a great place to go take care of your teeth. You will be in good hands. Dra. Joy is 
very nice and informative. Would highly recommend to anyone.


Very accommodating,.and the service was good,the dentist and staff are very friendly..
You will not hesitate to ask,

..highly recommend this clinic!👍","All good w doctor joy
nakakatuwa kse tutok sila pareho ng assitant
interms of safety protocols, 👍👍 kase kumpleto sila bago ka iupo sa dental chair.
mabait sa patient at super suttle kausap
Highly recommended."
C. Santos Dental Clinic,"14.651142617457307, 121.10012588755104",14.65114262,121.1001259,"
536 J.P Rizal St. Concepcion Uno, Marikina City,
 Philippines",Marikina City,5,,5,"(0917) 899 9580 
(0906) 254 1112",csantosdental@gmail.com,#NAME?,,Mon-Sun: 10am - 7pm,,
"Bagasala Villar Family Dental 
(Marikina)","14.646160172957977, 121.09514770745322",14.64616017,121.0951477,"41 1800 E. Mendoza Street, Marikina, 
1800 Metro Manila",Marikina City,5,4.7,4.85,0927 480 8746  | 79718051,,#NAME?,,Mon-Sun: 10am to 6pm,,"The best and professional dentist in the Philippines😉😉😉
If anyone needs a dentist, it's the only place. I highly recommend 🥰


Sobrang ganda ng services and super friendly ng stuff specially ni Dr. Villar❤️ worth it pag punta ko kahit 
malayo ako sa kanila sa good ng services nila. 💯 nag bibigay din po sila ng discount ❤️


A highly recommended dental clinic! Kung may 10 star rating, bibigyan ko sila🎉
Sobrang gaan ng kamay nilang mag-asawa.🥺 as in kahit yung family ko, gustong gusto sila💖 napakabait, 
madali kausap at talagang ibibigay ang mga request mo - hindi nila ipipilit yung hindi kaya ng budget mo💸
 compared sa more than 10 clinics na ininquire-an ko, sila ang pinaka affordable ang services and dental
 cosmetics, AS IN!😍
Ang dami nilang inayos sa oral health ng buong family ko. Worth every penny kasi very satisfying ang 
services. Ang gaan nila mag explain ng mga procedures. Kaya hindi ka kakabahan.😁
Yung impacted tooth ko na ilang taon ng iniiwasan ng dati kong dentist, saglit lang nila na-solusyonan🥲
Thank you, Dra Carla and Dr Kri! God bless po sa inyo!🙏🏻❤️


Super friendly ang mga dentist and we we're well assisted on our check up appointment. We we're also 
given options to choose for the possible procedure and was also explained to us thoroughly what are the
 best options and benefits of the procedure. Surely we will come back and recommend your clinic 😊"
MetroSmile Dental Center,"14.637942372513178, 121.09653481128197",14.63794237,121.0965348,"Brgy, 23 Sumulong Hwy, Marikina, 
1800 Metro Manila",Marikina City,,5,5,0995 947 6358,"metrosmiledental@yahoo.com
","⚜️Oral Prophylaxis (Cleaning)
⚜️Tooth Extraction 
⚜️Gum Treatment
⚜️Tooth Filling
⚜️Laser Teeth Whitening
⚜️Dentures 
⚜️Veneers / Crowns / Jacket
⚜️Fluoride Therapy
⚜️Wisdom Tooth Removal
⚜️Dental Implant
⚜️Root Canal Treatment",,Mon-Sun: 10am-5:30pm,,"Very satisfied customer here. Friendly yung staffs at accommodating. First time ko po magpacleaning at
 pasta mabuti nalang mabait si Doc at nilagyan nya muna anesthesia before magpasta. After matapos ng
 procedure tatanungin ka pa kung may concerns ka pa ba. ⭐️⭐️⭐️⭐️


Highly recommended!!! Affordable compare sa iba na napuntahan ko pero ganda ng quality ng service. 
Madaling kausap, direct to the point sa inquiries. 🤩 Thank you!!!


I highly recommend this clinic. Sobrang bait ni doc tsaka mabilis lang yung pagbunot sa wisdom tooth ko, 
I thought masakit, hindi pala. Thank you so much, doc! God bless you! 💛


I highly recommend this clinic. Very affordable and the service was really great. Wisdom tooth removal so
 fast. Ang gaan ng kamay ni Doc. Thank you doc Glenn! God bless you!


Thank you Doc Glenn for always taking my concerns into consideration and for always being happy to
 answer my questions. You provide the very best of care, and that is an incredible and awe-inspiring
 accomplishment. Salamat uli Doc! 💜"
Toothopia Dental Clinic,"14.633457907631097, 121.09576233505992",14.63345791,121.0957623,"Unit A 2nd FLoor, C.T. Paz Bldg. 254 J.P. Rizal, 
Sta Elena, Marikina City, Philippines",Marikina City,5,5,5,"09273305193
09081937088",toothopiadental@gmail.com,,,Mon-Sun: 10am to 5pm,,"Highly recommended!!!! The place is super clean! The dentist was very nice and kid-friendly. 10 stars!!!


2pm ang appt since early kami dumating we started at 1:30 PM. Thank you Doc Hannah and Bea sa
 mahabang pasensya. Super recommended!


Super nice at ang galing mag manage ng bata ni Dra. Malinis ang clinic, maaliwalas at talagang child friendly.
 Ineexplain din mabuti ni Dra. yung mga procedure na need gawin at yung sa do’s and dont’s para sa 
pag aalaga ng teeth ng mga baby natin. May pafree toy pa si Dra. 🥰🥰 Thanks po😊🥰
Super highly recommended😊🥰💯


Thank you po doc hannah ☺️. Ang galing nyo po mag handle ng toddler madali at walang iyakan na naganap."
Naval Dental Clinic,"14.623721490949123, 121.10224516605612",14.62372149,121.1022452,"
11 Gil Fernando Avenue Midtown, San Roque, 
Marikina City, Philippines",Marikina City,4,,4,09179183000 / 89524256,naval.private@gmail.com,,,Mon-Sat: 9am-7pm,"Can you give negative stars?
“summary” – My experience was NOT of a medical care facility but, solely a materialistic ,
 money-centric  business that perceived then treated me as just a “punter” to extract as 
much $$$ from with little overall concern for the best outcome for a “patient”.
All Advise given @ naval seemed driven only by their commercial considerations & is 
proven completely false + the workmanship shown 2b pathetically unprofessional .
IF a permanent resident of the Philippines I’d consider initiating legal proceedings against 
this BUSINESS for breach of duty of care.

The story-
Initial doubts arose immediately during the consultation.  Got told in(a grave tone) that 
‘19’ teeth needed attending to.   19!??
My radar went bleep perceiving a potential wallet gouge - as, the previous (then unavailable
 Filipino dentist I’d seen a few months earlier had said ‘1’ tooth filling should be attended to 
and the rest were AOK – had an xray to verify this with.
However that 1 tooth was now a little sensitive (as predicted). This woman at naval was
 near to me & she came-kind of-with a 3rd hand recommendation,,, so I ignored my 
suspicions & chose 2 have her attend to it.
Again, a grave look of ‘salesperson’ concern was displayed with persistent urging 2 
immediately begin root canal treatment then her fitting a crown. $$$! The cost she quoted 
was twice++ what the previous dentist had quoted - and he (1st dentist) had advised filling
 was an acceptable option.  He did warn  filling ‘MAY’ last & if not – root canal work.

So, against the persistently applied pressure, I said filling. This didn’t go down well with her 
and seemingly annoyed began the procedure.  Again I had doubt as to her attending to her
 professional duty of care requirements.

The work was carried out in a rough, rushed manner plus the type of filling material was a runny,
 soft type I’d never seen before. On later inspection this filling material could be seen ‘splashed’ 
onto other teeth.  I paid (comparatively way above Philippine standards) and left after courteously
 managing to evade the persistent propositions for booking subsequent appointments to have the other ‘18’ teeth drilled into.

I’m back home now.  For weeks that tooth was sensitive or painful.  Didn’t feel infected or dying but rather traumatized, bruised.  So, I went to a dentist here 4 advice.

After shooting the xray he began asking ‘WTF’ type questions as to how the tooth got into such a state.  He was appalled at its condition.  It’d been drilled into down to the nerve with the filling applied too thinly directly on top of the nerve – thus the sensitivity & pain. The filling material used was meant as a very temporary type i.e. for a few weeks between procedures & it just won’t last.  He couldn't understand why a trained dentist would use it - perhaps to save money on materials?

His prognosis was that if, initially, the procedure had been conducted with professional, competent care, the tooth –then- would have had enough structure to be ‘correctly’ filled. He advised that because of the work done that now, root canal & crown is ‘possibly’ not an option as the structural integrity seems compromised.

As to the other 18 teeth apparently needing immediate work,, Without explaining I asked him if any other teeth needed attention?  He examined in my mouth again &then the xray - nothing else was required.

To be more certain, I paid for yet another opinion with another dentist and was given the same prognosis –plus a free lecture on the risks involved having work done overseas.

Fortunately the tooth’s sensitivity’s subsided somewhat & is currently just tolerable – until the filling finally fails and/or it shatters.
I disagree with the second dentist - I know from experience there are honest, good dentists in Phil &when the need arises and I’m there I’ll avail upon them again– just this time I’ll search more intently for  one with at least a modicum of professional integrity.

LOL Imagine if  I’d said OK to her  attacking 19 teeth!! WOW!  :P

Hope this helps.",
Khurana Calilap Dental Clinic,"14.63888072801111, 121.12158742767012",14.63888073,121.1215874,"116 lilac st. concepcion dos, Marikina City, 
Philippines",Marikina City,5,,5,0907 313 2745,,#NAME?,,Mon-Sun: 9am-6pm,,
Dentime Dental Clinic,"14.657201610014274, 121.10297998332639",14.65720161,121.10298,"2/F JN Terraces Bldg., 881 J. P. Rizal Street, 
Brgy. Concepcion Uno, Marikina City,
 Philippines",Marikina City,,5,5,"
0962 757 5307","
dentimemarikina@gmail.com","🔹FREE CONSULTATION (yes, still free!)
🔹FREE DIGITAL X-RAY
🔹Oral Prophylaxis (Teeth Cleaning)
🔹Fluoride Application (With Free Cleaning)
🔹Teeth Whitening (With Free Cleaning)
🔹Tooth Restoration/Filling (Pasta and Direct Veneer)
🔹Pit and Fissure Sealant Application
🔹Root Canal Treatment
🔹Tooth Extraction (Bunot)
🔹Odontectomy (Wisdom Tooth Removal)
🔹Orthodontics (Braces)
🔹Dentures (Partial and Complete)
🔹FPD (Crowns/Bridge)
🔹Retainers",,Tue-Sun: 9AM -5PM,,"Mabait mga staff and si Doc.. Mura din ang bunot compared sa iba.. malinis at maayos ang facility!
Highly recommended!!!


First Dental Visit🦷✨
Super thankyou po kay Doc at sa Assistant nya☺️ Super bait,Knowledgeable and Informative ni Doc . 
Super ganda din ng place at malinis pa ❤️
Overall experience is⭐⭐⭐⭐⭐😁 highly recommended to All And  FRIENDLY CLINIC! ❣️


Highly Recommended ko itong Dental Clinic na ito. Dahil ang bait ng staff pati ni Doc. di ka talaga
 mahihiyang magtanong or maiilang sakanya dahil super approachable at ang galing nya magpaliwanag 
ang gaan pa ng kamay nya dahil nagpabunot ako ng ngipin at nag pa cleaning ang affordable din ng pricelist
 nila. 😍 kaya naman kung naghahanap ka ng Clinic na malinis, maganda ang ambiance at syempre magaling
 ang Dentist i-DENTIME DENTAL CLINIC mo na yan ❤️

very accommodating, friendly and professional dentist. higly reccommend ko itong dentime dental clinic ❤️❤️❤️"
"Oral Confidence Ortho
 Dental Clinic Marikina","14.652466612800941, 121.10589821617063",14.65246661,121.1058982,"27-B Bayan-Bayanan Ave, Marikina, 1807
 Metro Manila",Marikina City,3.4,3.7,3.55,"0289487677
 0918-599-9393 
 0920-9483973","
info@oralconfidence.com",#NAME?,,"Mon-Sat: 8am-6pm
Sun: 9am-6pm","The dental clinic is clean and the staff are friendly. The dentist who assisted me gave 
helpful tips to take care of my teeth.


Hello! I'd like to thank oral confidence because the offer was affordable for continuing my
 braces treatment when I moved since my clinic was too far away. We are really looking for 
something that can be done for some reasons and I want to thank you doc ​​because his 
hands are light :) I also appreciate the fact that I have a schedule for the adjustment of
 braces and the fact that he said when I will possibly lose my braces is exciting haha 
thank you oral confidence.


The facilities are well-maintained and clean plus their very professional and hospitable 
staff! 💗 Thank you! …


If I could give zero star, I would. The last time I went, one of the dentists who was having a 
hard time filling up my teeth, blatantly said to me ""bakit kasi ganyan ang ngipin mo?"" 
(English translation: Why is your teeth like that?""). She was so rude to me, I'm not going 
back there again. She was just frustrated on making sure my teeth aligns right after the 
fillers has hardened, and when it's taking her long.. she had to be rude! I could drop names, 
but I'm not. But I'm not coming back here again. Rude dentists.","I highly recommend the painless tooth extraction in this clinic. It was nicely done by Dr. Jas.I didnt even
 felt my tooth was extracted. A 6 star rate.She was very professional  and friendly staffs as well.👍


Highly recommended this Dental Clinic. The Dentists are all great esp doc Jaz, who assisted me and does
 my pasta. Shes so kind, very perfect ung pagkakagawa nya and I'm very satisfied. Can' t wait na bumalik
 soon for my next session. Very friendly and approachable lahat ng staff. GODBLESS.


Exceeded my expectation. I had trauma when it came to dentist offices but the staff and the dentist was
 very accommodating. I will come back and I highly recommend for anyone looking for a dentist to try here


I had to wait despite having an appointment, but I think I understood why when it was my turn. I was given
 full attention by Dr Jas when I was on the dental chair. Her commitment to quality is commendable. On top 
of that, she is friendly and easygoing."
SmileXpress Dental Clinic,"14.642999928610768, 121.11370880908275",14.64299993,121.1137088,"Unit 102 Firenza Residences, Rainbow, corner 
Azure St, Marikina, 1811",Marikina City,5,5,5,0960 273 6310,smilexpressdentalph@gmail.com,"✅ Oral Diagnosis & Consultation
✅ Oral Prophylaxis (Dental Cleaning)
✅ Tooth Filling
✅ Tooth Extraction
✅ Orthodontics (Dental Braces and Retainers) 
✅ Aesthetic Dentistry (Veneers, Laser Teeth Whitening)
✅ Dental Prosthesis (Denture, Crown, Fixed Bridge)
✅ Root Canal Treatment
✅ Wisdom Tooth Extraction
✅ Pediatric Dentistry 
✅ Dental Implants 
✅ Periapical Xray ",,Mon-Sun: 9am-5pm,"I recommend this dental clinic. Dra. Rebekah is so kind and very professional. 
The place is clean and spacious. The equipments are all new and high tech. 
The staff is very accomodating.


Highly recommended. Dra. Bekah is an excellent dentist.","⭐️⭐️⭐️⭐️⭐️highly recommended! the doctor answered all my queries and super gaan ng kamay. friendly and
 accomodating also the staff. thank you po for pain free wisdom tooth extraction.


Highly Recommended💙 ang babait po ng mga nag assist kay Dra. pati rin si Dra. siyempre kahit na
 pinahirapan at pinatagalan siya ng ipin ko laban😅 and sobrang thankyou po at happy ko dahil no more
 toothache na😊 🥰 @SmileExpress


Highly recommended! 🤍 mabilis lang, nasasagot din agad lahat ng questions ko, and sobrang bait pa 
nina Doc 🥹 Thank you and see you again po!


I had an exceptional experience at this dental clinic. Dra was incredibly accommodating and kind throughout 
my rct. She took the time to explain every detail and procedure, easing my fears. I appreciate her honesty and 
patience with me 😅The use of high-tech equipment further impressed me, as it was something I hadn't seen in
 other clinics. Overall, I highly recommend this clinic for anyone in need of dental care 😁 Thanks Doc!"
"The Brickroad Dental Center -
 San Roque Marikina","14.626473772568136, 121.10237915782562",14.62647377,121.1023792,"32, 1801 Mayor Gil Fernando Ave, 
Marikina, Metro Manila",Marikina City,5,,5,0917 878 4117,bachodentalclinic@yahoo.com,#NAME?,,Mon-Sun: 10am-6pm,Dentists are very professional with gentle hands. Clinic staffs are very accomodating also.,Excellent clinic equiped with highly respected Dentists who are globally and  internationally competent.
Belen - Bello Alcazar Dental Clinic,"14.652549652081362, 121.10426743303515",14.65254965,121.1042674,"2nd floor, Dunkin Donuts, 14 Bayan-Bayanan Ave,
 Marikina, 1807 Metro Manila",Marikina City,3,4.6,3.8," 
289251896
0917-868-4719",alice_belen@yahoo.com,#NAME?,,"Mon,Wed,Fri & Sat: 9am-4pm","The best dentist i’ve ever had! Dr liezel is really good. She will even check on her patient 
to make sure they are doing ok. She is compassionate to her patients. You can tell that 
she really care. I highly recommend this clinic!


I will not recommend this clinic. The suffering I endured on my tooth after getting a filling 
there was extreme! The dentist's work was terribly done, and they were in such a rush!
 I got a filling from them, and it fell out after just 4 days. And during the procedure, they 
didn't even bother to ask if I was okay. The tears and agony I went through due to the pain
 were unbearable. Worst dentist ever! What a waste of money! They have no care for their
 patients. I went through such trauma because of you. I'm now scared to have my teeth 
fixed again because of what you did, it's so debilitating. Until now, I can't drink anything 
hot or cold because every time I do, the sensitivity and pain are unbearable. I haven't 
returned because of your botched job, which caused me so much trauma at your dental clinic.","Ambait ni Doc! She made things simple kahit feeling ko ang complicated ng problema ko, hehe.
 Great job and God bless! ♥️


The staff are very nice and very accommodating.


Based on my 2nd appointment, hindi nalinis ng maayos yung teeth ko. Hindi rin maayos yung pagpasta 
sa akin. Mukhang nagmamadali si Doc e. Nakakagat ko yung pasta kapag kumakain ako. E paano once
 niya lang naman chineck. Nakakangilo. Hayssss."
Angeles Dental Clinic,"14.623483983273431, 121.09242279762996",14.62348398,121.0924228,"2/F 04 JP Rizal St., Calumpang, Marikina City,
 Marikina City, Philippines",Marikina City,5,4.9,4.95,0915 282 7968,angeles.celline@gmail.com,#NAME?,,"Mon-Sun: 10am-5pm
Tuesday-CLOSED",Highly recommended 👍🏻 …,"I highly recommend the Angeles Dental Clinic. They have friendly staffs and the clinic is clean and neat.
 You must visit their clinic! 💗


I highly recommend Angeles Dental Clinic! They are approachable from appointment scheduling to the
 actual service. The clinic is well-maintained, clean, and neat!  Super gaan ng kamay ni Dra. Celine.
 She also explained the procedure and the after care very well. I'll definitely be back for all my future
 dental needs. superb!


I reco Angeles Dental Clinic! ✨ Staffs are friendly, clinic is neat, very accommodating, and mostly.. 
service is 💯 quality. The best! They also explained well the procedure. I’ll be back for sure!


Dra Celine is a very nice dentist, She explained everything well to me. She’s approachable and very gentle 
in handling the procedure. Very considerate as well


1000/10✨✨This is a great place to go take care of your teeth! They are incredibly friendly and professional.
 The office was conducted very professionally and everything arrived on schedule.  I have never had better
 dental treatment than I have from them! Staff members are kind, professional, and friendly. Would highly
 recommend to anyone!!!"
Dental Stories Dental Clinic,"14.653629159863295, 121.11396630115678",14.65362916,121.1139663,"531 champagnat street, corner Gen. Ordoñez St,
 Marikina, 1810 Metro Manila",Marikina City,5,5,5,0926 625 8025,Jcdentalstories@gmail.com,#NAME?,,Mon-Sun: 9am-6pm,"Thank you so much Dental Stories, you are the best at handling patients, plus the services
 they offer are very affordable. This is one of the best dentists I have ever visited here
 in Marikina.

","It's been over a week now since I had my braces installed and the EXPERIENCE was TOP TIER.
 DR. KEN was able to give me clarity on what to expect in the next coming months/years.
He really took time to address my dental concerns and put me at ease.
Overall, the whole dental team provided excellent service. Customer service is also superb. 
Indeed, Testimonials are LEGITIMATE💪👌
Too excited to come back to my next adjustment 😊🙏
Location, Ambiance, Cleanliness, and Overall Equipment, Plus People = Perfect 10💯✅


I highly recommend this clinic Kasi ang bait Ng staff at si Doc Ken. Going to have my another Pasta and 
1st cleaning ♥️. Ang Linis at Ganda nang clinic. They explain well sa mga client ❤️. 
Thank you so much. Very accommodating ang staff and owner.


The best Dental Clinic experience I've had! sobrang accommodating ng mga staff, and ang bait pa at 
galing ni Doc Ken. I highly appreciate that he explains every detail na gagawin sakin, and magaan pa
 ang kamay! kaya naman highly recommended ko talaga ang Dental Stories Clinic!! ☺️


Excellent Experience! I would highly recommend this clinic and Dr. Alfonso. The Staff and Dentist were 
excellent. Very professional. I was extremely nervous about having my teeth removed and Dr. Alfonso 
put me at ease and recovery was way better than I was expecting."
